|    Прізвище     |      Ім‘я      |Вік|Група крові|    Звання  |         Боєкомплект          |  
        Матеїч	       Андрій	 30	  O+	           Майор	             Пістолет, М4
        Катрич	        Євген	 41	  B+	          Рекрут	         АК-101, Пістолет
      Петренко	        Арсен	 20	  A+	          Солдат	                       М4
     Коваленко	         Гліб	 36	  A-	          Солдат	                   АК-101
      Савченко	        Павло	 24	  B+	       Лейтенант	        Гранатомет, АК-47
    Бондаренко	       Дмитро	 44	 AB-	    Підполковник	        Гранатомет, АК-47
         Зінич	        Денис	 59	 AB+	       Лейтенант	                      АКМ
        Дарвай	         Юрій	 19	 AB+	          Рекрут	                      М16
       Пелешко	      Альберт	 57	  O+	       Лейтенант	               Гранатомет
      Павленко	       Микола	 31	  A+	         Сержант	        Гранатомет, АК-47
         Вівич	        Борис	 56	  O-	       Лейтенант	          Гранатомет, ПКМ
         Ягнич	      Альберт	 37	  A+	         Капітан	Гранатомет, АК-47, Пістолет
     Потапенко	      Ярослав	 22	  O+	         Капітан	          Гранатомет, М16
      Малаєнко	        Назар	 39	  O+	          Рекрут	                   АК-101
        Скибич	     Борислав	 27	  B+	    Підполковник	             Пістолет, М4
         Зінич	         Гліб	 39	 AB-	         Капітан	                         
        Скибич	        Борис	 56	 AB+	       Лейтенант	                         
     Козубенко	        Орест	 40	 AB-	          Рекрут	Гранатомет, АК-47, Пістолет
       Косенко	       Кирило	 30	  O-	       Лейтенант	          Гранатомет, М16
       Ульєнко	        Борис	 34	  B-	          Рекрут	                 Пістолет
       Бабенко	     Борислав	 24	  O+	         Сержант	               Гранатомет
    Трофименко	       Сергій	 19	  A+	         Капітан	                   АК-101
         Ягнич	        Євген	 18	  B-	    Підполковник	         АК-103, Пістолет
        Катрич	        Борис	 55	  B-	         Сержант	                      АКМ
    Трофименко	      Ярослав	 42	  O-	       Лейтенант	                      М16
       Огієнко	        Орест	 29	  O+	          Рекрут	               Гранатомет
      Мазничка	    В'ячеслав	 29	  A+	           Майор	                      АКМ
     Тарасенко	        Арсен	 29	  B+	    Підполковник	                       М4
       Діденко	        Денис	 49	 AB-	    Підполковник	                      ПКМ
    Посвятенко	    В'ячеслав	 19	  B+	          Солдат	                         
    Лук'яненко	        Денис	 40	  O-	       Лейтенант	          Гранатомет, М16
       Пелешко	      Альберт	 23	 AB+	         Капітан	          АК-74, Пістолет
      Шевченко	     Валентин	 18	  A-	    Підполковник	          Гранатомет, М16
          Соїч	     Борислав	 60	  B+	       Лейтенант	          Пістолет, АК-47
      Мазничка	        Павло	 62	  A+	         Капітан	                      М16
      Потравич	        Денис	 39	  A+	          Рекрут	                    АК-47
     Козубенко	        Павло	 31	  O-	           Майор	         АК-101, Пістолет
       Ращенко	        Орест	 22	  O-	          Рекрут	                      М16
     Козубенко	    В'ячеслав	 56	  O+	           Майор	          АК-74, Пістолет
       Місярич	        Борис	 43	 AB+	           Майор	                       М4
     Ярмоленко	        Захар	 46	 AB+	         Сержант	         АК-103, Пістолет
        Дарвай	       Сергій	 41	  O-	           Майор	          Гранатомет, М16
       Пелешко	      Ярослав	 24	  B+	          Солдат	                   АК-101
    Лук'яненко	         Ілля	 40	  B+	         Капітан	                      АКМ
    Лук'яненко	        Павло	 24	 AB-	         Капітан	         АК-103, Пістолет
      Савченко	        Артур	 31	  A+	          Рекрут	                 Пістолет
    Касьяненко	        Орест	 43	  B-	         Сержант	                    АК-47
        Скибич	     Анатолій	 28	  A-	    Підполковник	          АК-74, Пістолет
     Кириленко	        Вадим	 18	 AB+	          Солдат	                         
       Діденко	         Гліб	 50	  A-	       Лейтенант	                         
         Ягнич	        Петро	 28	  A+	    Підполковник	          Гранатомет, ПКМ
     Потапенко	        Петро	 40	 AB+	           Майор	                         
   Капітаненко	       Максим	 23	 AB+	          Солдат	          Пістолет, АК-47
      Боркович	        Назар	 58	 AB-	         Капітан	                      ПКМ
    Пархоменко	        Арсен	 31	  A+	         Сержант	                      ПКМ
     Симоненко	    В'ячеслав	 37	  A-	       Лейтенант	         АК-101, Пістолет
       Ульєнко	      Ярослав	 27	  B+	          Солдат	                      М16
         Зінич	      Андріан	 64	  O-	    Підполковник	                       М4
       Косенко	      Віталій	 23	  B-	           Майор	Гранатомет, АК-47, Пістолет
      Потравич	        Орест	 22	  A-	         Сержант	          АК-74, Пістолет
      Ткаченко	     Григорій	 23	  B-	          Солдат	          Гранатомет, М16
     Симоненко	     Борислав	 20	 AB+	         Капітан	          Гранатомет, М16
         Рудич	        Назар	 61	  O-	          Рекрут	          Пістолет, АК-47
     Симоненко	        Євген	 31	  A+	         Сержант	               Гранатомет
         Бабіч	        Вадим	 21	  B-	           Майор	                 Пістолет
     Титаренко	      Віталій	 37	  A-	    Підполковник	        Гранатомет, АК-47
       Пелиньо	      Віталій	 25	 AB-	         Капітан	               Гранатомет
         Хіміч	        Борис	 55	  A+	          Рекрут	                   АК-101
     Ярмоленко	       Василь	 50	  B+	       Лейтенант	          Гранатомет, М16
      Зінченко	       Сергій	 57	  A+	           Майор	          АК-74, Пістолет
          Арич	    Святослав	 21	  B-	           Майор	                         
      Павленко	        Вадим	 24	  B-	         Сержант	               Гранатомет
         Вівич	        Борис	 33	  A-	          Солдат	          АК-74, Пістолет
      Петренко	       Максим	 47	 AB-	         Капітан	         АК-101, Пістолет
     Симоненко	         Гліб	 51	 AB-	           Майор	                   АК-101
      Іваненко	       Андрій	 56	  O+	       Лейтенант	Гранатомет, АК-47, Пістолет
     Ідушкевич	        Петро	 23	  O-	       Лейтенант	                      М16
        Поприч	         Ілля	 21	  B+	         Сержант	             Пістолет, М4
       Луценко	        Борис	 45	  A-	           Майор	                         
         Вівич	         Еріх	 38	  O+	       Лейтенант	                      АКМ
      Мазничка	        Артем	 26	  O-	           Майор	                         
      Потравич	        Павло	 26	  A+	    Підполковник	                      АКМ
     Тимошенко	        Артем	 46	  A+	           Майор	                    АК-47
     Ярмоленко	        Захар	 55	  B+	       Лейтенант	                      АКМ
     Коваленко	       Кирило	 20	  O-	          Солдат	                       М4
        Шуфрич	      Андріан	 33	  A+	           Майор	        Гранатомет, АК-47
           Юїч	        Захар	 55	  B-	         Сержант	                         
     Устименко	        Артур	 58	  A+	         Сержант	                      АКМ
    Одиноченко	        Орест	 36	 AB-	          Солдат	         АК-103, Пістолет
        Маріїч	     Борислав	 45	  A+	          Солдат	         АК-103, Пістолет
        Негрич	         Юрій	 46	  A+	    Підполковник	                      М16
       Бабенко	        Вадим	 54	  B-	    Підполковник	          Гранатомет, ПКМ
    Посвятенко	        Денис	 33	  O+	         Сержант	                    АК-47
      Іваненко	        Борис	 64	  A-	         Сержант	                      АКМ
    Касьяненко	       Кирило	 27	  B-	         Капітан	          АК-74, Пістолет
      Малієнко	      Валерій	 30	  A-	         Капітан	                         
    Лук'яненко	        Арсен	 45	 AB+	           Майор	                 Пістолет
         Зінич	        Орест	 19	  A-	           Майор	             Пістолет, М4
        Дарвай	        Вадим	 56	 AB-	           Майор	                      АКМ
     Козубенко	     Анатолій	 47	  B-	           Майор	        Гранатомет, АК-47
       Юрченко	       Максим	 44	  O-	         Сержант	                 Пістолет
       Косенко	        Петро	 39	  O+	          Солдат	               Гранатомет
       Попадич	        Євген	 52	  B-	       Лейтенант	         АК-103, Пістолет
          Арич	       Сергій	 43	  B-	         Сержант	               Гранатомет
      Гриценко	        Захар	 23	  B+	         Капітан	                 Пістолет
       Попадич	     Мирослав	 52	  O+	       Лейтенант	         АК-101, Пістолет
      Мазничка	        Захар	 45	  B+	       Лейтенант	                      ПКМ
      Гриценко	        Вадим	 61	  O-	         Капітан	               Гранатомет
          Ярич	         Ілля	 46	  B-	    Підполковник	                      АКМ
       Кузьмич	        Борис	 25	  O-	    Підполковник	          Гранатомет, ПКМ
      Іваненко	    Ростислав	 37	 AB+	    Підполковник	                    АК-47
     Кириленко	        Назар	 40	 AB-	    Підполковник	                      АКМ
      Мар'єнко	    Ростислав	 33	  B-	          Солдат	         АК-103, Пістолет
    Одиноченко	      Альберт	 56	  A+	          Солдат	Гранатомет, АК-47, Пістолет
       Ульєнко	      Ярослав	 26	 AB-	         Капітан	        Гранатомет, АК-47
     Титаренко	       Микола	 59	 AB-	         Сержант	          Гранатомет, М16
     Потапенко	        Борис	 28	  A-	    Підполковник	          Пістолет, АК-47
     Тимошенко	     Борислав	 55	 AB-	       Лейтенант	          АК-74, Пістолет
        Негрич	       Андрій	 64	  B-	          Рекрут	                    АК-47
       Кузьмич	         Ілля	 30	  B-	          Рекрут	             Пістолет, М4
   Петрушинець	        Вадим	 31	  A-	       Лейтенант	                      АКМ
       Іллєнко	      Валерій	 56	  A-	         Сержант	          Гранатомет, М16
      Шевченко	     Борислав	 51	  B+	    Підполковник	                      М16
     Тимошенко	        Захар	 50	  A-	          Солдат	                         
        Негрич	        Назар	 61	  A+	    Підполковник	                       М4
     Сергієнко	       Степан	 19	 AB-	    Підполковник	               Гранатомет
       Юрченко	         Юрій	 35	  A+	          Рекрут	Гранатомет, АК-47, Пістолет
       Луценко	      Валерій	 29	  B-	           Майор	          Гранатомет, ПКМ
          Соїч	        Вадим	 59	  B+	          Рекрут	        Гранатомет, АК-47
        Негрич	        Борис	 62	  O-	          Рекрут	         АК-103, Пістолет
      Петренко	    В'ячеслав	 62	  B+	           Майор	                         
     Сергієнко	     Валентин	 63	  B-	         Капітан	                      ПКМ
       Ращенко	        Вадим	 64	 AB+	       Лейтенант	                         
       Іллєнко	       Сергій	 20	  O+	          Рекрут	         АК-101, Пістолет
      Клименко	       Дмитро	 51	  O-	          Рекрут	               Гранатомет
        Матеїч	     Борислав	 61	  A+	       Лейтенант	          Гранатомет, ПКМ
        Матеїч	    В'ячеслав	 21	  B+	         Сержант	        Гранатомет, АК-47
    Вдовиченко	        Назар	 30	 AB-	         Сержант	          Гранатомет, М16
        Дарвай	       Василь	 56	  B-	    Підполковник	                      ПКМ
        Поприч	     Мирослав	 37	  A-	         Капітан	Гранатомет, АК-47, Пістолет
     Козубенко	      Валерій	 45	  O-	          Солдат	             Пістолет, М4
           Юїч	        Артур	 45	 AB-	           Майор	         АК-101, Пістолет
       Кулініч	       Андрій	 28	  O+	         Сержант	                 Пістолет
         Марич	         Гліб	 61	  B-	          Солдат	          Гранатомет, М16
       Косенко	         Ілля	 28	  A+	          Солдат	                      ПКМ
      Потравич	        Назар	 53	  O-	          Рекрут	        Гранатомет, АК-47
         Хіміч	       Микола	 37	  A+	         Капітан	                    АК-47
    Лук'яненко	         Еріх	 36	  O-	          Рекрут	          Пістолет, АК-47
     Василенко	        Євген	 33	  B-	           Майор	             Пістолет, М4
     Ідушкевич	     Анатолій	 40	  O-	         Сержант	          Пістолет, АК-47
        Зварич	    В'ячеслав	 59	  O+	           Майор	                         
      Тулейбич	       Дмитро	 54	  B-	          Солдат	Гранатомет, АК-47, Пістолет
      Панченко	        Артур	 28	  A-	           Майор	                      ПКМ
      Зінченко	       Максим	 57	 AB-	           Майор	                         
      Зінченко	       Микола	 64	 AB-	          Солдат	                       М4
           Юїч	       Кирило	 25	 AB+	    Підполковник	                      ПКМ
     Симоненко	    Святослав	 54	  B-	         Сержант	         АК-101, Пістолет
    Бондаренко	        Артур	 40	  B+	          Солдат	                      АКМ
      Шевченко	      Ярослав	 59	  A-	         Сержант	          Гранатомет, М16
       Ращенко	       Василь	 27	 AB-	           Майор	                      АКМ
         Зінич	        Артур	 33	  O-	       Лейтенант	         АК-101, Пістолет
      Боркович	       Андрій	 18	  A-	          Солдат	                 Пістолет
Список, посортований за званнями:
|    Прізвище     |      Ім‘я      |Вік|Група крові|    Звання  |         Боєкомплект          |  
       Луценко	        Євген	 18	  O+	          Рекрут	                      М16
        Дімнич	      Андріан	 42	  A-	          Рекрут	                   АК-101
       Ращенко	        Орест	 39	  A-	          Рекрут	                    АК-47
    Посвятенко	    Ростислав	 61	  A-	          Рекрут	          Гранатомет, ПКМ
       Ульєнко	      Віталій	 29	  O+	          Рекрут	                         
       Місярич	     Анатолій	 53	  O-	          Рекрут	                       М4
     Коваленко	      Ярослав	 37	  O-	          Рекрут	                      ПКМ
         Стоїч	    Володимир	 22	  A+	          Рекрут	          АК-74, Пістолет
        Поприч	     Мирослав	 52	  B+	          Рекрут	               Гранатомет
       Кузьмич	      Любомир	 22	 AB-	          Рекрут	                      АКМ
        Катрич	        Євген	 41	  B+	          Рекрут	         АК-101, Пістолет
        Дарвай	         Юрій	 19	 AB+	          Рекрут	                      М16
      Малаєнко	        Назар	 39	  O+	          Рекрут	                   АК-101
     Козубенко	        Орест	 40	 AB-	          Рекрут	Гранатомет, АК-47, Пістолет
       Ульєнко	        Борис	 34	  B-	          Рекрут	                 Пістолет
       Огієнко	        Орест	 29	  O+	          Рекрут	               Гранатомет
      Потравич	        Денис	 39	  A+	          Рекрут	                    АК-47
       Ращенко	        Орест	 22	  O-	          Рекрут	                      М16
      Савченко	        Артур	 31	  A+	          Рекрут	                 Пістолет
         Рудич	        Назар	 61	  O-	          Рекрут	          Пістолет, АК-47
         Хіміч	        Борис	 55	  A+	          Рекрут	                   АК-101
        Негрич	       Андрій	 64	  B-	          Рекрут	                    АК-47
       Кузьмич	         Ілля	 30	  B-	          Рекрут	             Пістолет, М4
       Юрченко	         Юрій	 35	  A+	          Рекрут	Гранатомет, АК-47, Пістолет
          Соїч	        Вадим	 59	  B+	          Рекрут	        Гранатомет, АК-47
        Негрич	        Борис	 62	  O-	          Рекрут	         АК-103, Пістолет
       Іллєнко	       Сергій	 20	  O+	          Рекрут	         АК-101, Пістолет
      Клименко	       Дмитро	 51	  O-	          Рекрут	               Гранатомет
      Потравич	        Назар	 53	  O-	          Рекрут	        Гранатомет, АК-47
    Лук'яненко	         Еріх	 36	  O-	          Рекрут	          Пістолет, АК-47
         Хіміч	      Віталій	 29	  A-	          Солдат	          Гранатомет, М16
      Петренко	        Арсен	 20	  A+	          Солдат	                       М4
     Коваленко	         Гліб	 36	  A-	          Солдат	                   АК-101
   Капітоненко	         Юрій	 33	  B+	          Солдат	          АК-74, Пістолет
          Соїч	         Гліб	 21	  A-	          Солдат	                      АКМ
    Посвятенко	    В'ячеслав	 19	  B+	          Солдат	                         
         Стоїч	    Святослав	 19	  B+	          Солдат	          Гранатомет, ПКМ
       Пелешко	      Ярослав	 24	  B+	          Солдат	                   АК-101
     Кириленко	        Вадим	 18	 AB+	          Солдат	                         
   Капітаненко	       Максим	 23	 AB+	          Солдат	          Пістолет, АК-47
       Ульєнко	      Ярослав	 27	  B+	          Солдат	                      М16
      Ткаченко	     Григорій	 23	  B-	          Солдат	          Гранатомет, М16
         Вівич	        Борис	 33	  A-	          Солдат	          АК-74, Пістолет
     Коваленко	       Кирило	 20	  O-	          Солдат	                       М4
    Одиноченко	        Орест	 36	 AB-	          Солдат	         АК-103, Пістолет
        Маріїч	     Борислав	 45	  A+	          Солдат	         АК-103, Пістолет
       Косенко	        Петро	 39	  O+	          Солдат	               Гранатомет
      Мар'єнко	    Ростислав	 33	  B-	          Солдат	         АК-103, Пістолет
    Одиноченко	      Альберт	 56	  A+	          Солдат	Гранатомет, АК-47, Пістолет
     Тимошенко	        Захар	 50	  A-	          Солдат	                         
     Козубенко	      Валерій	 45	  O-	          Солдат	             Пістолет, М4
         Марич	         Гліб	 61	  B-	          Солдат	          Гранатомет, М16
       Косенко	         Ілля	 28	  A+	          Солдат	                      ПКМ
      Тулейбич	       Дмитро	 54	  B-	          Солдат	Гранатомет, АК-47, Пістолет
      Зінченко	       Микола	 64	 AB-	          Солдат	                       М4
    Бондаренко	        Артур	 40	  B+	          Солдат	                      АКМ
      Боркович	       Андрій	 18	  A-	          Солдат	                 Пістолет
    Дем'яненко	        Вадим	 21	  O-	         Сержант	          АК-74, Пістолет
       Бабенко	     Борислав	 24	  O+	         Сержант	               Гранатомет
        Катрич	        Борис	 55	  B-	         Сержант	                      АКМ
   Капітоненко	       Василь	 56	  B-	         Сержант	        Гранатомет, АК-47
     Ярмоленко	        Захар	 46	 AB+	         Сержант	         АК-103, Пістолет
    Касьяненко	        Орест	 43	  B-	         Сержант	                    АК-47
          Ярич	      Ярослав	 21	  A+	         Сержант	                    АК-47
    Пархоменко	        Арсен	 31	  A+	         Сержант	                      ПКМ
      Потравич	        Орест	 22	  A-	         Сержант	          АК-74, Пістолет
     Симоненко	        Євген	 31	  A+	         Сержант	               Гранатомет
    Гончаренко	      Ярослав	 36	  O+	         Сержант	          Гранатомет, М16
      Павленко	        Вадим	 24	  B-	         Сержант	               Гранатомет
        Поприч	         Ілля	 21	  B+	         Сержант	             Пістолет, М4
           Юїч	        Захар	 55	  B-	         Сержант	                         
     Устименко	        Артур	 58	  A+	         Сержант	                      АКМ
    Посвятенко	        Денис	 33	  O+	         Сержант	                    АК-47
      Іваненко	        Борис	 64	  A-	         Сержант	                      АКМ
       Юрченко	       Максим	 44	  O-	         Сержант	                 Пістолет
          Арич	       Сергій	 43	  B-	         Сержант	               Гранатомет
      Павленко	       Микола	 31	  A+	         Сержант	        Гранатомет, АК-47
     Титаренко	       Микола	 59	 AB-	         Сержант	          Гранатомет, М16
       Косенко	       Сергій	 35	  B-	         Сержант	               Гранатомет
       Кузьмич	      Віталій	 49	  B+	         Сержант	             Пістолет, М4
       Іллєнко	      Валерій	 56	  A-	         Сержант	          Гранатомет, М16
        Матеїч	    В'ячеслав	 21	  B+	         Сержант	        Гранатомет, АК-47
    Вдовиченко	        Назар	 30	 AB-	         Сержант	          Гранатомет, М16
       Кулініч	       Андрій	 28	  O+	         Сержант	                 Пістолет
     Ідушкевич	     Анатолій	 40	  O-	         Сержант	          Пістолет, АК-47
     Симоненко	    Святослав	 54	  B-	         Сержант	         АК-101, Пістолет
      Шевченко	      Ярослав	 59	  A-	         Сержант	          Гранатомет, М16
       Діденко	         Гліб	 50	  A-	       Лейтенант	                         
    Трофименко	      Ярослав	 42	  O-	       Лейтенант	                      М16
     Симоненко	    В'ячеслав	 37	  A-	       Лейтенант	         АК-101, Пістолет
     Ярмоленко	       Василь	 50	  B+	       Лейтенант	          Гранатомет, М16
        Негрич	      Альберт	 52	 AB+	       Лейтенант	               Гранатомет
      Іваненко	       Андрій	 56	  O+	       Лейтенант	Гранатомет, АК-47, Пістолет
     Ідушкевич	        Петро	 23	  O-	       Лейтенант	                      М16
    Лук'яненко	        Денис	 40	  O-	       Лейтенант	          Гранатомет, М16
         Вівич	         Еріх	 38	  O+	       Лейтенант	                      АКМ
     Ярмоленко	        Захар	 55	  B+	       Лейтенант	                      АКМ
      Савченко	        Павло	 24	  B+	       Лейтенант	        Гранатомет, АК-47
         Зінич	        Денис	 59	 AB+	       Лейтенант	                      АКМ
          Соїч	     Борислав	 60	  B+	       Лейтенант	          Пістолет, АК-47
       Попадич	        Євген	 52	  B-	       Лейтенант	         АК-103, Пістолет
       Попадич	     Мирослав	 52	  O+	       Лейтенант	         АК-101, Пістолет
      Мазничка	        Захар	 45	  B+	       Лейтенант	                      ПКМ
       Пелешко	      Альберт	 57	  O+	       Лейтенант	               Гранатомет
     Тимошенко	     Борислав	 55	 AB-	       Лейтенант	          АК-74, Пістолет
   Петрушинець	        Вадим	 31	  A-	       Лейтенант	                      АКМ
         Вівич	        Борис	 56	  O-	       Лейтенант	          Гранатомет, ПКМ
       Ращенко	        Вадим	 64	 AB+	       Лейтенант	                         
        Матеїч	     Борислав	 61	  A+	       Лейтенант	          Гранатомет, ПКМ
       Косенко	       Кирило	 30	  O-	       Лейтенант	          Гранатомет, М16
        Скибич	        Борис	 56	 AB+	       Лейтенант	                         
         Зінич	        Артур	 33	  O-	       Лейтенант	         АК-101, Пістолет
      Петренко	       Максим	 64	  B+	       Лейтенант	                      М16
      Боркович	        Назар	 58	 AB-	         Капітан	                      ПКМ
    Трофименко	       Сергій	 19	  A+	         Капітан	                   АК-101
       Пелешко	      Альберт	 23	 AB+	         Капітан	          АК-74, Пістолет
      Мазничка	        Павло	 62	  A+	         Капітан	                      М16
    Касьяненко	       Кирило	 27	  B-	         Капітан	          АК-74, Пістолет
      Малієнко	      Валерій	 30	  A-	         Капітан	                         
       Кулініч	     Валентин	 45	  A+	         Капітан	          Гранатомет, ПКМ
     Симоненко	     Борислав	 20	 AB+	         Капітан	          Гранатомет, М16
      Гриценко	        Захар	 23	  B+	         Капітан	                 Пістолет
      Гриценко	        Вадим	 61	  O-	         Капітан	               Гранатомет
     Кириленко	     Валентин	 38	 AB+	         Капітан	                         
       Ульєнко	      Ярослав	 26	 AB-	         Капітан	        Гранатомет, АК-47
       Пелиньо	      Віталій	 25	 AB-	         Капітан	               Гранатомет
     Сергієнко	     Валентин	 63	  B-	         Капітан	                      ПКМ
      Клименко	    В'ячеслав	 39	  A+	         Капітан	                    АК-47
    Лук'яненко	         Ілля	 40	  B+	         Капітан	                      АКМ
        Поприч	     Мирослав	 37	  A-	         Капітан	Гранатомет, АК-47, Пістолет
         Ягнич	      Альберт	 37	  A+	         Капітан	Гранатомет, АК-47, Пістолет
    Лук'яненко	        Павло	 24	 AB-	         Капітан	         АК-103, Пістолет
     Потапенко	      Ярослав	 22	  O+	         Капітан	          Гранатомет, М16
         Хіміч	       Микола	 37	  A+	         Капітан	                    АК-47
        Дарвай	       Максим	 19	  O-	         Капітан	Гранатомет, АК-47, Пістолет
         Зінич	         Гліб	 39	 AB-	         Капітан	                         
    Вдовиченко	        Арсен	 24	  B+	         Капітан	                    АК-47
      Петренко	       Максим	 47	 AB-	         Капітан	         АК-101, Пістолет
     Козубенко	     Анатолій	 47	  B-	           Майор	        Гранатомет, АК-47
      Мазничка	        Артем	 26	  O-	           Майор	                         
     Козубенко	        Павло	 31	  O-	           Майор	         АК-101, Пістолет
     Тимошенко	        Артем	 46	  A+	           Майор	                    АК-47
        Матеїч	       Андрій	 30	  O+	           Майор	             Пістолет, М4
         Бабіч	        Вадим	 21	  B-	           Майор	                 Пістолет
       Косенко	      Віталій	 23	  B-	           Майор	Гранатомет, АК-47, Пістолет
        Шуфрич	      Андріан	 33	  A+	           Майор	        Гранатомет, АК-47
     Козубенко	    В'ячеслав	 56	  O+	           Майор	          АК-74, Пістолет
       Місярич	        Борис	 43	 AB+	           Майор	                       М4
     Симоненко	         Гліб	 51	 AB-	           Майор	                   АК-101
        Дарвай	       Сергій	 41	  O-	           Майор	          Гранатомет, М16
    Бондаренко	      Любомир	 43	  O-	           Майор	                      ПКМ
       Луценко	      Валерій	 29	  B-	           Майор	          Гранатомет, ПКМ
       Ульєнко	      Віталій	 55	  O-	           Майор	        Гранатомет, АК-47
      Петренко	    В'ячеслав	 62	  B+	           Майор	                         
     Потапенко	        Петро	 40	 AB+	           Майор	                         
      Зінченко	       Сергій	 57	  A+	           Майор	          АК-74, Пістолет
       Пелиньо	     Валентин	 53	  B-	           Майор	                       М4
      Мазничка	    В'ячеслав	 29	  A+	           Майор	                      АКМ
           Юїч	        Артур	 45	 AB-	           Майор	         АК-101, Пістолет
      Ткаченко	      Віталій	 29	  O-	           Майор	                      ПКМ
       Луценко	        Борис	 45	  A-	           Майор	                         
       Бабенко	       Степан	 42	  B+	           Майор	          АК-74, Пістолет
     Василенко	        Євген	 33	  B-	           Майор	             Пістолет, М4
         Янків	       Микола	 21	  B+	           Майор	        Гранатомет, АК-47
        Зварич	    В'ячеслав	 59	  O+	           Майор	                         
      Панченко	        Артур	 28	  A-	           Майор	                      ПКМ
      Зінченко	       Максим	 57	 AB-	           Майор	                         
    Лук'яненко	        Арсен	 45	 AB+	           Майор	                 Пістолет
          Арич	    Святослав	 21	  B-	           Майор	                         
        Негрич	         Юрій	 24	  O+	           Майор	             Пістолет, М4
       Ращенко	       Василь	 27	 AB-	           Майор	                      АКМ
         Зінич	        Орест	 19	  A-	           Майор	             Пістолет, М4
        Дарвай	        Вадим	 56	 AB-	           Майор	                      АКМ
     Василенко	        Артур	 60	  B-	    Підполковник	                 Пістолет
     Потапенко	        Борис	 28	  A-	    Підполковник	          Пістолет, АК-47
     Титаренко	      Віталій	 37	  A-	    Підполковник	        Гранатомет, АК-47
          Ярич	         Ілля	 46	  B-	    Підполковник	                      АКМ
        Дарвай	       Василь	 56	  B-	    Підполковник	                      ПКМ
        Негрич	         Юрій	 46	  A+	    Підполковник	                      М16
       Бабенко	        Вадим	 54	  B-	    Підполковник	          Гранатомет, ПКМ
         Ягнич	        Євген	 18	  B-	    Підполковник	         АК-103, Пістолет
         Хіміч	         Еріх	 48	  B+	    Підполковник	                         
         Ягнич	        Петро	 28	  A+	    Підполковник	          Гранатомет, ПКМ
      Ткаченко	      Ярослав	 37	  A+	    Підполковник	          Гранатомет, М16
       Кузьмич	        Борис	 25	  O-	    Підполковник	          Гранатомет, ПКМ
      Іваненко	    Ростислав	 37	 AB+	    Підполковник	                    АК-47
      Шевченко	     Борислав	 51	  B+	    Підполковник	                      М16
       Діденко	        Денис	 49	 AB-	    Підполковник	                      ПКМ
